epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.2294,0.98861,3.08106,1.38296,0.00628,0.85714,0.10409,0.06952,0.25941,2.64979,0.82254,0,0,0
2,2.46438,0.73656,3.15217,1.24014,0.00621,0.85714,0.11721,0.07513,0.24217,2.65663,0.81682,1.9802e-05,1.9802e-05,1.9802e-05
3,3.57524,0.68112,3.08054,1.17894,0.00622,0.85714,0.14311,0.10389,0.23776,2.63071,0.8227,3.9208e-05,3.9208e-05,3.9208e-05
4,4.78113,0.79404,3.13653,1.24939,0.00614,0.85714,0.2116,0.15983,0.24012,2.59922,0.82708,5.8218e-05,5.8218e-05,5.8218e-05
5,6.19198,0.71674,2.96325,1.1642,0.00621,0.85714,0.34804,0.29693,0.24352,2.56772,0.82719,7.6832e-05,7.6832e-05,7.6832e-05
6,7.35585,0.83367,2.9704,1.24165,0.00611,0.85714,0.67999,0.43958,0.27411,2.54332,0.82921,9.505e-05,9.505e-05,9.505e-05
7,8.74161,0.65888,2.88328,1.13842,0.0061,0.85714,0.72039,0.65613,0.31591,2.51542,0.83826,0.000112872,0.000112872,0.000112872
8,9.91068,0.56623,2.80353,1.0104,0.00603,0.85714,0.69694,0.64648,0.32994,2.50465,0.8357,0.000130298,0.000130298,0.000130298
9,11.3423,0.75907,2.67005,1.10743,0.00612,0.85714,0.68045,0.63098,0.29019,2.49801,0.83183,0.000147328,0.000147328,0.000147328
10,12.5368,0.72603,2.64693,1.1845,0.00602,0.85714,0.78544,0.74915,0.28487,2.42679,0.83601,0.000163962,0.000163962,0.000163962
11,13.8803,0.68073,2.51746,1.08884,0.00592,0.85714,0.83544,0.78233,0.26319,2.3927,0.83543,0.0001802,0.0001802,0.0001802
12,15.4126,0.40323,2.41561,0.8751,0.00583,0.85714,0.83543,0.7818,0.33697,2.39301,0.84129,0.000196042,0.000196042,0.000196042
13,16.6954,0.58965,2.51762,0.94197,0.00578,0.85714,0.85542,0.79145,0.40677,2.39252,0.84789,0.000211488,0.000211488,0.000211488
14,18.3452,0.81236,2.29707,1.09563,0.00576,0.85714,0.85542,0.74693,0.45249,2.38846,0.85337,0.000226538,0.000226538,0.000226538
15,19.7024,0.59392,2.17219,1.02177,0.00563,0.85714,0.85541,0.74644,0.50594,2.38108,0.8615,0.000241192,0.000241192,0.000241192
